X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.0038707190287237663,11.249147642031259,0.4619478493116701
2.0,2.0,train,0.007505127896873987,51.14160621835956,0.6993355315070446
3.0,3.0,train,0.005601419717988966,19.811473174347476,0.5921796994904323
4.0,4.0,train,0.002142672156611784,4.931962043868237,0.2904298251980847
5.0,5.0,train,0.005881121273772637,21.5572077792337,0.610041875429862
6.0,6.0,train,0.006555373416718049,25.299775590702545,0.6499504980995596
7.0,7.0,train,0.004094892235651278,12.045727913371413,0.4809191233738498
8.0,8.0,train,0.005527564829682478,18.703122748869365,0.5873281732635239
9.0,9.0,train,0.007362999604798595,42.21131890255823,0.6924144541767048
10.0,10.0,train,0.006722429387108129,27.97694271954575,0.6591901482753084
11.0,11.0,train,0.007647643670492219,64.02835925144672,0.7061191101133393
12.0,12.0,train,0.007588658186357482,56.42010766756587,0.7033302363592135
13.0,13.0,train,0.0075760506767552005,55.66139171991431,0.702730720306628
14.0,14.0,train,0.007599840228256522,57.93973446964218,0.703860956326607
15.0,15.0,train,0.0055281391165575965,19.250491324808504,0.5873661199203558
16.0,16.0,train,0.007653640204115517,64.793255061,0.7064011580381808
17.0,17.0,train,0.007477907405038692,48.14569334541464,0.698022168821744
18.0,18.0,train,0.006722429387108129,27.97694271954575,0.6591901482753084
19.0,19.0,train,0.006722429387108129,27.97694271954575,0.6591901482753084
20.0,20.0,train,0.007653640204115517,64.793255061,0.7064011580381808
21.0,21.0,train,0.007599840228256522,57.93973446964218,0.703860956326607
22.0,22.0,train,0.007653640204115517,64.793255061,0.7064011580381808
23.0,23.0,train,0.007653640204115517,64.793255061,0.7064011580381808
24.0,24.0,train,0.006974107436952301,32.05302000335609,0.6726517150676977
25.0,25.0,train,0.007653640204115517,64.793255061,0.7064011580381808
26.0,26.0,train,0.007493372151831285,50.39136497596781,0.698769030269228
27.0,27.0,train,0.007653640204115517,64.793255061,0.7064011580381808
28.0,28.0,train,0.007611763002446621,61.74096545947187,0.704425786992041
29.0,29.0,train,0.007505127896873987,51.14160621835956,0.6993355315070446
30.0,30.0,train,0.003640686335094362,10.110257996902867,0.4417596922857906
31.0,31.0,train,0.007611763002446621,61.74096545947187,0.704425786992041
32.0,32.0,train,0.007552335592972097,54.14823168547076,0.7015997288533831
33.0,33.0,train,0.007653640204115517,64.793255061,0.7064011580381808
34.0,34.0,train,0.007653640204115517,64.793255061,0.7064011580381808
35.0,35.0,train,0.007653640204115517,64.793255061,0.7064011580381808
36.0,36.0,train,0.007653640204115517,64.793255061,0.7064011580381808
37.0,37.0,train,0.007653640204115517,64.793255061,0.7064011580381808
38.0,38.0,train,0.005317476021519793,15.989224759779724,0.5732095308546996
39.0,39.0,train,0.007653640204115517,64.793255061,0.7064011580381808
40.0,40.0,train,0.007653640204115517,64.793255061,0.7064011580381808
41.0,41.0,train,0.007653640204115517,64.793255061,0.7064011580381808
42.0,42.0,train,0.007653640204115517,64.793255061,0.7064011580381808
43.0,43.0,train,0.007653640204115517,64.793255061,0.7064011580381808
44.0,44.0,train,0.007653640204115517,64.793255061,0.7064011580381808
45.0,45.0,train,0.007653640204115517,64.793255061,0.7064011580381808
46.0,46.0,train,0.007653640204115517,64.793255061,0.7064011580381808
47.0,47.0,train,0.007653640204115517,64.793255061,0.7064011580381808
48.0,48.0,train,0.005235705629532649,14.401512897960702,0.5675846038733099
49.0,49.0,train,0.005317476021519793,15.989224759779724,0.5732095308546996
50.0,50.0,train,0.00384033257528626,10.862120910952733,0.45932350296139357
51.0,51.0,train,0.007653640204115517,64.793255061,0.7064011580381808
52.0,52.0,train,0.007653640204115517,64.793255061,0.7064011580381808
53.0,53.0,train,0.007653640204115517,64.793255061,0.7064011580381808
54.0,54.0,train,0.007477907405038692,48.14569334541464,0.698022168821744
55.0,55.0,train,0.007653640204115517,64.793255061,0.7064011580381808
