X,Y,Test or train,Raw prediction,Cumulative prediction,Cloglog prediction
1.0,1.0,train,0.005023190153988609,11.955589545305935,0.5099573595590007
2.0,2.0,train,0.007005041070697426,25.588454275909935,0.6301559365939569
3.0,3.0,train,0.0054148017526165345,14.052322854443537,0.5364631383768064
4.0,4.0,train,0.0010548584272426806,2.0798708516005258,0.13910571963009621
5.0,5.0,train,0.009348752060752051,85.6278268986391,0.7348518928767475
6.0,6.0,train,0.007081301224987972,28.410232186216025,0.6341391821110454
7.0,7.0,train,0.004521680375188295,10.967232868413758,0.4737882022989153
8.0,8.0,train,0.008923127719259709,61.94266009933792,0.7183332405605658
9.0,9.0,train,0.008136468859033212,42.141309197457936,0.6850463429728292
10.0,10.0,train,0.007327629102421978,30.59439637714924,0.6467147157982516
11.0,11.0,train,0.009040424902107087,69.12212796810006,0.7229856882831789
12.0,12.0,train,0.008656129872581872,54.908024499037204,0.7074496581632388
13.0,13.0,train,0.009497129489121929,91.31620337003731,0.7403797828503046
14.0,14.0,train,0.009630424369511397,93.23055817776171,0.7452474233622273
15.0,15.0,train,0.006460732971860851,20.10442101455271,0.6004375986778423
16.0,16.0,train,0.008406593277564794,44.64693334924634,0.6968979764083387
17.0,17.0,train,0.009307481141830446,83.7600260344825,0.7332935040680807
18.0,18.0,train,0.007327629102421978,30.59439637714924,0.6467147157982516
19.0,19.0,train,0.007327629102421978,30.59439637714924,0.6467147157982516
20.0,20.0,train,0.009630424369511397,93.23055817776171,0.7452474233622273
21.0,21.0,train,0.007266816461122405,29.86151213208242,0.6436508775408327
22.0,22.0,train,0.009642252613097396,95.15721896295655,0.7456749313037395
23.0,23.0,train,0.009278407948895909,81.90063347925891,0.732190205481486
24.0,24.0,train,0.009476014922326775,87.52533668336669,0.739600236606297
25.0,25.0,train,0.009687908744139138,98.05968404395331,0.7473183616122904
26.0,26.0,train,0.007867737211037623,38.928385535446,0.6727960131226431
27.0,27.0,train,0.009714474383419556,100.0,0.7482697220705523
28.0,28.0,train,0.009464948796465854,86.57429518873919,0.7391907427012449
29.0,29.0,train,0.007005041070697426,25.588454275909935,0.6301559365939569
30.0,30.0,train,0.0029445137909495135,6.689830807468786,0.341705774053235
31.0,31.0,train,0.009505403203101004,92.26682856182975,0.7406846101976998
32.0,32.0,train,0.006870448153404791,22.122643848010803,0.6230197294003438
33.0,33.0,train,0.00900342609856145,67.3161772013545,0.7215265340766803
34.0,34.0,train,0.00884379260596218,60.16138966894417,0.7151422940391541
35.0,35.0,train,0.008528650425046495,47.196307848912326,0.7021058930429308
36.0,36.0,train,0.009140925534720618,76.38818963390854,0.7269107445692861
37.0,37.0,train,0.009140925534720618,76.38818963390854,0.7269107445692861
38.0,38.0,train,0.007377775825587501,33.530888052505105,0.649221360719566
39.0,39.0,train,0.00855188113959203,49.75819979159512,0.703086914233872
40.0,40.0,train,0.009163931843009903,78.21933639841755,0.7278014054387756
41.0,41.0,train,0.008528650425046495,47.196307848912326,0.7021058930429308
42.0,42.0,train,0.008739421498608003,57.52663962281435,0.7108892451609248
43.0,43.0,train,0.009163931843009903,78.21933639841755,0.7278014054387756
44.0,44.0,train,0.00855188113959203,49.75819979159512,0.703086914233872
45.0,45.0,train,0.008528650425046495,47.196307848912326,0.7021058930429308
46.0,46.0,train,0.008465919754530994,45.49347505435225,0.6994405845188314
47.0,47.0,train,0.008744282664074433,58.40093278788006,0.7110887368333225
48.0,48.0,train,0.007052238899869377,26.994117620499615,0.6326262736196879
49.0,49.0,train,0.007405783808673135,35.010092526936035,0.6506136249701313
50.0,50.0,train,0.005488067525924642,14.601097947687569,0.5412604543341188
51.0,51.0,train,0.008988438287822312,66.41599377747515,0.7209332615617405
52.0,52.0,train,0.009044147694036938,70.02479499410371,0.7231320832639733
53.0,53.0,train,0.009672243334401202,97.09117696089113,0.7467556724485976
54.0,54.0,train,0.009329570966303394,84.69298200674368,0.7341287510706328
55.0,55.0,train,0.009206771959762085,80.97284463073103,0.7294521743328113
56.0,56.0,train,0.009489065197633558,90.36604763821816,0.7400823263944283
57.0,57.0,train,0.005739162999356648,16.313935069016395,0.5573282346844812
58.0,58.0,train,0.005739162999356648,16.313935069016395,0.5573282346844812
59.0,59.0,train,0.009044147694036938,70.02479499410371,0.7231320832639733
60.0,60.0,train,0.007855848055497095,38.141696846912915,0.6722431645014204
61.0,61.0,train,0.007332453982626745,32.79324323104707,0.6469566700848535
62.0,62.0,train,0.009477367090470153,88.46761564382145,0.7396502285004105
63.0,63.0,train,0.004443330850738834,10.06811751207504,0.4679013250280222
64.0,64.0,train,0.009094439697990784,73.65518769437824,0.7251021993230367
65.0,65.0,train,0.009094439697990784,73.65518769437824,0.7251021993230367
66.0,66.0,train,0.008728357217385845,56.65223659665868,0.7104346773825816
67.0,67.0,train,0.009073942581209886,71.83735538855564,0.7243009527367194
68.0,68.0,train,0.009086136668007434,72.74552866075547,0.724777909061346
69.0,69.0,train,0.008499173915207452,46.34350921609944,0.7008564480129389
70.0,70.0,train,0.00692209226180403,23.502852171282992,0.6257740722786396
71.0,71.0,train,0.00692209226180403,23.502852171282992,0.6257740722786396
72.0,72.0,train,0.006248045361452722,17.5227462110749,0.5881866072869231
73.0,73.0,train,0.007930624017903756,39.72167009526842,0.6757047909054549
74.0,74.0,train,0.005167053628347015,12.980646880363803,0.5198662752985342
75.0,75.0,train,0.008044134731677335,41.32771405781491,0.6808898312730902
76.0,76.0,train,0.008923969267585017,63.72604952682616,0.7183668962667651
77.0,77.0,train,0.008890698031507728,61.050372773813336,0.7170332246413214
